id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,category,difficulty
1,What is Moksha?,Liberation from the cycle of rebirth,Material wealth and prosperity,Political power and influence,Fame and recognition,A,"Moksha means liberation from samsara, the cycle of death and rebirth. It is the ultimate spiritual goal in Vedantic philosophy.",Core Concepts,Beginner
2,What does Dharma represent?,Selfish desires,Righteous duty and moral law,Material possessions,Physical strength,B,"Dharma encompasses righteous duty, moral law, and ethical conduct that maintains cosmic order and individual purpose.",Ethics,Beginner
3,"According to Vedanta, what is Atman?",The physical body,The mind and thoughts,The eternal soul or true Self,Worldly achievements,C,"Atman is the eternal, unchanging essence of every individual - the true Self beyond body and mind.",Core Concepts,Beginner
4,What is the law of Karma?,Random events in life,The law of cause and effect,Financial transactions,Social relationships,B,"Karma is the universal law of cause and effect, where every action creates consequences that affect future experiences.",Ethics,Beginner
5,What is Brahman in Vedantic philosophy?,A specific deity,A religious ritual,The ultimate reality,A sacred text,C,"Brahman is the ultimate reality, the cosmic consciousness that is the source and essence of all existence.",Core Concepts,Intermediate
6,What is the purpose of Pranayama?,Physical exercise only,To control life force through breathing,To increase lung capacity only,To reduce stress only,B,"Pranayama controls prana (life force) through breathing exercises to purify the body and mind for spiritual development.",Practices,Intermediate
7,What does Satsang mean?,Singing devotional songs,Association with truth and good company,Reading scriptures alone,Performing rituals,B,"Satsang means association with truth or gathering with like-minded spiritual seekers for learning and mutual support.",Practices,Beginner
8,What is Samadhi?,A yoga posture,A religious festival,The highest state of meditation,A sacred mantra,C,"Samadhi is the highest meditative state where the meditator, meditation, and object of meditation merge into one.",Practices,Advanced
9,What does Maya represent in Vedantic philosophy?,Divine grace,Material wealth,The illusory nature of reality,Sacred knowledge,C,"Maya is the cosmic illusion that veils the true nature of reality, making the temporary appear permanent.",Core Concepts,Advanced
10,What is Ahimsa?,Ritualistic worship,Non-violence in thought and action,Meditation practice,Scriptural study,B,"Ahimsa is non-violence in thought, word, and deed, extending compassion to all living beings.",Ethics,Beginner
11,What does Guru represent?,A religious book,A spiritual teacher,A meditation technique,A temple,B,"A Guru is a spiritual teacher who guides disciples from darkness to light, providing wisdom and guidance for spiritual growth.",Practices,Beginner
12,What is Samsara?,The ultimate reality,A meditation pose,The cycle of death and rebirth,A prayer ritual,C,"Samsara is the cycle of death and rebirth that souls experience, driven by karma and desires.",Core Concepts,Intermediate
13,What does Yoga literally mean?,Physical exercise,Union or connection,Breathing technique,Religious ceremony,B,"Yoga means union - the connection of individual consciousness with universal consciousness.",Practices,Beginner
14,What is Tapas?,Gentle movements,Spiritual austerity and discipline,Social gathering,Charitable giving,B,"Tapas involves spiritual austerity, self-control, and disciplined practice to purify the mind and develop spiritual strength.",Practices,Intermediate
